w1       68000 read (any size)
w2       Address == ($0xxxxx or $8xxxxx) and no CPU interrupt acknowledge (w35)?
w4       Release 68000 bus (used by DMA)
w5       Request 68000 bus (used by DMA)
w6       Clear during the 2nd and 4th cycle of a refresh slot
w7       Set during the 2nd and 4th cycle of a refresh slot if FIFO is not full
w8       Set while in DMA transfer (after it has been going for at least 1 cycle)
w9       Set when any interrupt pending
w11      IRQ number to assert (bit 1)
w12      IRQ number to assert (bit 2)
w35      No CPU interrupt acknowledge?
w37      No CPU address strobe (68000)
w43      Set when counter dff23..29_l2 == 127
w44      (partial result for w43, see above)
w45      CPU interrupt acknowledge (68000)
w46      CPU interrupt acknowledge
w47      CPU interrupt acknowledge (Z80)
w48      CPU interrupt acknowledge in mode 5
w49      Clear pending interrupts (from l9, from w48)
w50      Reset OR read enable CTRL
w54      Clear external interrupt pending
w56      Clear vblank interrupt pending (F flag)
w57      Set to trigger hblank interrupt
w58      Set to trigger external interrupt
w59      Set external interrupt pending
w60      Set to trigger vblank interrupt
w61      Allow DMA flag
w62      Start DMA transfer
w63      Start DMA copy or fill
w64      Assert BGACK (high logic)
w65      Swap status port bits 1:0 with 9:8 (req: SMS mode, mode 5, mirror status port, wtf?)
w66      Set sprite overflow flag
w70      68k within VDP address range (address must be 110xx000 xxxxxxxx 000xxxxx)
w71      Output extra V and H counter bits over CPU data bus (test feature, SMS mode only)
w72      Status port PAL bit (or FIFO full if w65 set)
w73      Status port DMA bit (or FIFO empty if w65 set)
w74      Selected test port $F
w75      Selected test port $8
w76      Selected test port $7
w77      Selected test port $6
w78      Selected test port $5
w79      Selected test port $4
w80      Selected test port $3
w81      Selected test port $2
w82      Selected test port $1
w83      Selected test port $0
w84      Write enable for test port $0
w85      Write enable for test port $1
w86      Write enable for test port $2
w87      Read enable for test port $2
w88      Write enable for test port $3
w89      Read enable for test port $3
w90      Write enable for test port $4
w91      Read enable for test port $4
w92      Write enable for test port $5
w93      Read enable for test port $5
w94      Write enable for test port $6
w95      Read enable for test port $6
w96      Write enable for test port $7
w97      Read enable for test port $7
w98      Write enable for test port $8
w99      Read enable for test port $8
w100     Read enable for test port $F? (works different than usual)
w101     DRAM row and column mux select (passed to w103)
w103     RA output, color bus vs. DRAM address mux (involves reg $0B bit 7 and w101)
w104     DRAM ASEL signal (involves reg $0B bit 7)
w105     ??? (controlled by debug reg $00 bit 0, involves color)
w106     Interlaced mode 2 enable (high resolution)
w107     V28 enable
w108     V30 enable
w109     128KB mode enable
w110     Write enable for PSG (SMS mode)
w111     Write enable for PSG
w112     Read enable for DATA/CTRL (SMS mode)
w113     Read enable for DATA/CTRL
w114     Read enable for CTRL
w117     /DTACK?
w120     Set F flag, also sets whatever is t12 (see w121)
w121     ??? (resets t12)
w122     Fire the interrupt (be more specific? high or low logic?) (68k=t12, Z80=w9)
w123     V counter latch bottom bit
w124     68000 CPU access detected
w128     Write enable for debug address port (MD mode)
w129     Write enable for debug data port (MD mode)
w130     Select between subports (for paired ports)
w131     Write enable for DATA/CTRL (MD mode)
w132     Read enable for DATA/CTRL (MD mode)
w133     Write enable for PSG (MD mode)
w134     Read enable for latched V counter // Read enable for HV counter (MD mode)
w135     Read enable for debug register (MD mode)
w136     End of DMA transfer (or reset)
w137     Assert /DTACK (seems logic for halting on DMA transfers and for halting on reads)
w138     Seems to be set when data is available to read
w139     Write enable for DATA/CTRL
w140     Write enable for DATA/CTRL (SMS mode)
w141     Read enable for HV counter (SMS mode)
w142     Read enable for latched H counter // Read enable for HV counter
w143     Read enable for DATA? (used for t14 and t24)
w144     (clears t18, seems related to CPU writes)
w145     (sets t18, seems related to CPU writes)
w146     Part of /DTACK logic (all this goes to w117)
w147     CPU strobe (either upper or lower)
w151     (low logic) VRAM data output strobe
w153     DATA/CTRL access strobe for w150
w155     Select high word for next command write?
w156     FIFO empty or end of DMA
w159     ??? (something to do with end of access latch, maybe? part of what triggers autoincrement)
w160     Read enable for DATA
w163     Access to DATA/CTRL
w164     Write command bits 15:8
w165     Write command bits 7:0
w166     Write command bits 7:0 (SMS mode), select upper byte next
w167     Write command bits 15:8? (SMS mode) Write enable for CTRL?
w168     Write command bits 23:16
w169     Write enable for DATA?
w170     Select low byte for next command write (SMS mode) (same as w174 but before RESET is added)
w171     Select low word for next command write?
w174     Select low byte for next command write (SMS mode) (same as w170 but with RESET thrown in)
w175     Select low word for next command write? (same as w171 but with RESET thrown in)
w176     Select high word for next command write? (same as w155 but with RESET thrown in)
w178     CRAM read enable (goes to l623_1 -> l623_2 -> l623_3)
w182     CD5 flag (actually combinatorial and not a latch)
w183     (edge detects a DATA/CTRL access, l21/l22)
w184     ??? Yet another DATA/CTRL access detect? (used by w193 when detecting register writes)
w185     Selects between current (1) or autoincremented (0) address
w186     (part of the logic for w187 and w188, latched through l27)
w187     (not sure but seems to be when writes trigger inside DMA copy?)
w188     (not sure but seems to be when writes trigger outside DMA copy?)
w192     reg_code[1:0] != 2'h2 (not a register write)
w193     Detected a register write? (pipelines to l31..l34,w205)
w199     DMA copy in progress and CD4 set
w201     [not sure how w189 is involved but] Selected VSRAM for reading (goes to l206)
w202     [not sure how w189 is involved but] Selected CRAM for reading
w204     Reset command bits 23:16 (triggered by reset or mode 4)
w205     Register write enable (from l31)
w206     Register 00*** write enable
w207     Register 01*** write enable
w208     Register 10*** write enable (mode 5 required)
w209     Register 01*** write enable (mode 5 required)
w210     Register 01111 ($0F) write enable
w211     Register 10011 ($13) write enable
w212     Register 10100 ($14) write enable
w213     Register 01011 ($0B) write enable
w214     Register 10110 ($16) write enable
w215     Register 01100 ($0C) write enable
w216     Register 00000 ($00) write enable
w217     Register 00001 ($01) write enable
w218     Register 00010 ($02) write enable
w219     Register 00011 ($03) write enable
w220     Register 00100 ($04) write enable
w221     Register 00111 ($07) write enable
w222     Register 10010 ($12) write enable
w223     Register 10001 ($11) write enable
w224     Register 10000 ($10) write enable
w225     Register 00110 ($06) write enable
w226     Register 00101 ($05) write enable
w227     Register 10111 ($17) write enable
w228     Register 10101 ($15) write enable
w229     Register 01010 ($0A) write enable
w230     Register 01001 ($09) write enable
w231     Register 01000 ($08) write enable
w232     Register 01110 ($0E) write enable
w233     Register 01101 ($0D) write enable
w234     Increment DMA source and decrement length by 256 (if reg_test0[1] == 1)
w235     Increment DMA source and decrement length by 1 (if reg_test0[1] == 0)
w244     End of DMA transfer, 1 iteration early?
w245     DMA in progress & reg_dmd == 2'h3 (DMA copy)
w246     DMA in progress & reg_dmd == 2'h1 (DMA transfer from RAM)
w247     DMA in progress & reg_dmd == 2'h0 (DMA transfer from ROM)
w248     DMA in progress & reg_dmd == 2'h2 (DMA fill)
w250     Increment DMA source address
w251     Decrement DMA length (second byte)
w252     Status port FULL bit (0 = FIFO has room, 1 = FIFO is full)
w254     Is FIFO still empty
w255     Increment DMA source address (second byte)
w256     Send entry address from FIFO to VRAM bus (see below)
w257     w256 when FIFO index == 1, sends entry's address to VRAM address bus
w258     w256 when FIFO index == 0, sends entry's address to VRAM address bus
w259     w256 when FIFO index == 3, sends entry's address to VRAM address bus
w260     w256 when FIFO index == 2, sends entry's address to VRAM address bus
w263     Set when DMA fill and FIFO empty
w264     Increment FIFO write index; data write (through DATA port access or DMA transfer)
w267     Set to output DMA source address to CPU address bus (also goes to l5)
w268     Set to output data from FIFO to data bus
w269     Time to flush FIFO entry (free access slot and FIFO not empty) (to l49)
w270     Clears t28 when DMA is over
w271     Sets t28 when a FIFO flush happens while in DMA
w272     [?] Set when DMA fill can proceed? (after the initial write is done) (goes to l50)
w273     68000 and 64KB VRAM and CD2:1 == 0 (not CRAM or VSRAM)
w274     68000 and 64KB VRAM
w276     Upper byte FIFO write strobe (68000 bus)
w277     Upper byte FIFO write (see l55..l58)
w278     Lower byte FIFO write strobe (68000 bus)
w279     Lower byte FIFO write (see l59..l62)
w280     Which FIFO byte is being written in mode 5 (Z80 bus)
w281     [?] DMA copy write to odd address?
w282     [?] DMA copy write to even address?
w283     [?] VRAM write to upper byte?
w284     [?] VRAM write to lower byte?
w285     Lower byte flag OR 64KB VRAM mode
w286     VRAM write to lower byte (goes to VRAM interface block, see w991)
w287     Upper byte flag AND 128KB VRAM mode
w288     VRAM write to upper byte (goes to VRAM interface block, see w999)
w289     Live/FIFO CD flags: VRAM write (CD3:0 == 0001)
w290     FIFO write enable for data
w291     FIFO write enable for 3rd slot data
w292     FIFO write enable for 4th slot data
w293     FIFO write enable for 1st slot data
w294     FIFO write enable for 2nd slot data
w295     Both FIFO indices match, used to detect when FIFO becomes full or empty
w296     Set when incrementing FIFO read index by half entry
w297     Set when incrementing FIFO read index by one entry
w299     ??? (VRAM address write enable? it's clocked too)
w301     CD0 flag & doing an access?
w302     CRAM write enable, upper byte (goes to l601)
w303     CRAM write enable, lower byte (goes to l602)
w304     Updates l94 and l95 (the bytes that are used for FIFO writes)
w305     FIFO read index increment size (0: by half entry, 1: by one entry)
w306     Set when FIFO read index == 3
w307     Set when FIFO read index == 2
w308     Set when FIFO read index == 1
w309     Set when FIFO read index == 0
w310     FIFO CD1 flag for current entry
w311     FIFO upper byte flag for current entry
w312     FIFO CD2 flag for current entry
w313     FIFO lower byte flag for current entry
w314     FIFO CD3 flag for current entry
w315     FIFO CD0 flag for current entry
w316     Live flag or FIFO CD1 flag for current entry
w317     Live flag or FIFO upper byte flag for current entry
w318     Live flag or FIFO CD2 flag for current entry
w319     Live flag or FIFO lower byte flag for current entry
w320     Live flag or FIFO CD3 flag for current entry
w321     Live flag or FIFO CD0 flag for current entry
w322     CD0 from FIFO in mode 5 or CD0 always high in mode 4
w323     VSRAM write, upper byte (goes to l207)
w324     VSRAM write, lower byte (goes to l208)
w325     CD2:1 == 00 (VRAM select) (either live or FIFO, depending on l50)
w326     Sends FIFO entry #3 to VRAM data bus
w327     Sends FIFO entry #1 to VRAM data bus
w328     Sends FIFO entry #0 to VRAM data bus
w329     Sends FIFO entry #2 to VRAM data bus
w330     NOT (68000, 64KB VRAM, CD2:1==00, byte-sized FIFO entry)
w331     Used to select what will go in the low byte of the VRAM write
w332     Upper XOR lower valid byte in FIFO (*not* both)
w333     Set to swap low byte of HV counter port (used to accomodate Z80 bus)
w334     H counter latch freerunning mode
w335     External interrupt pulse (one cycle long!) (goes to l81)
w336     V counter latch enable
w337     H counter latch enable
w338     For w346: set if it's a VRAM read (CD3:2 == 00)
w339     ??? (set when w346 set and VRAM address is even)
w340     ??? (set when w346 set and VRAM address is odd)
w341     Gate latching for upper byte of VRAM read (goes to l88)
w342     Gate latching for lower byte of VRAM read (goes to l89)
w343     Update upper byte of VRAM read
w344     Update lower byte of VRAM read
w345     For w348: selects which VRAM byte to show to the Z80
w346     For w349: selects which VRAM byte is source for upper byte for 68k
w347     Select what to put in low byte when reading HV counter
w348     Lower byte of a DATA read (latched in l92)
w349     Upper byte of a DATA read (latched in l93)
w350     Selects source of upper byte for command write (depending on CPU type)
w351     When outputting to VRAM data bus, selects byte for FIFO entry #0 data (lower byte)
w352     When outputting to VRAM data bus, selects byte for FIFO entry #1 data (lower byte)
w353     When outputting to VRAM data bus, selects byte for FIFO entry #2 data (lower byte)
w354     When outputting to VRAM data bus, selects byte for FIFO entry #3 data (lower byte)
w355     Logical Y coordinate
w356     reg_test1[6:4] == 3'h1 OR 3'h0 and time for plane A tilemap fetch
w357     reg_test1[6:4] == 3'h1
w358     (part of the expression in w359)
w359     Free VRAM slot (CPU access allowed) (latched in l109)
w360     Set if hpos = 258 (H32) or 322 (H40), when F flag is cleared, from l117
w361     Do H counter wraparound
w362     Increment H counter by 1px
w363     Increment H counter by 1px (involves test register #1 bit 3, see w362...)
w364     Value to load when H counter wraps around
w365     (used to compute w364, see above)
w366     (used to compute w364, see above)
w367     (used to compute w364, see above)
w368     (used to compute w364, see above)
w369     (used to compute w364, see above)
w370     From external sync: H counter wraparound
w371     reg_test1[6:4] == 3'h2
w372     reg_test1[6:4] == 3'h2 OR 3'h0 and time for plane B tilemap fetch
w374     vsync
w375     external csync OR external hsync (latter when enabled)
w378     VSRAM timing to use? (reg_vscr ? l124 : ~l117)
w379     w378, but only when reg_test1[6:4] == 3'h0
w380     reg_test1[6:4] == 3'h0
w381     reg_test1[6:4] == 3'h5
w382     reg_test1[6:4] == 3'h3 (forces w385 high)
w383     reg_test1[6:4] == 3'h4 (forces w394 high)
w385     Timing signal: fetch plane A or B tile data (1st half) (from l125)
w386     (part of the expression in w359)
w394     Timing signal: fetch plane A or B tile data (2nd half) (from l126)
w395     (part of the expression in w359)
w396     Hsync (for current mode)
w401     Start of hblank OR reset
w403     ??? (just merges w410 with its delayed signal)
w404     Hsync gated by hsync dir bit (comes from w396)
w410     w361 (H counter wraparound) & w416 (???)
w411     External hsync, when enabled by reg $0C (gated from l149)
w414     H Timing signal: start of equalization pulse
